,id,gender,car,realty,cnt_children,income,income_type,education_type,fam_status,housing_type,mobile_phone,work_phone,phone,email,job_title,cnt_fam_members,age,work_experience,bad_debt,good_debt,status
3830,5028376,f,0,0,0,180000,working,secondary,widow,municipal_apartment,1,0,0,0,core_staff,1,55,9,0,28,1
2124,5022749,f,0,0,1,202500,commercial_associate,secondary,separated,house,1,0,0,0,sales_staff,2,30,9,0,29,1
24436,5149139,m,1,1,0,247500,working,secondary,married,house,1,1,0,0,laborers,2,30,10,0,12,1
20467,5118533,f,0,1,0,135000,working,secondary,married,house,1,0,0,0,core_staff,2,35,2,0,12,1
8013,5051158,m,0,0,1,247500,working,higher_education,single,house,1,0,0,0,laborers,2,38,6,0,10,1
11993,5068978,m,1,0,0,153000,working,secondary,single,with_parents,1,0,0,0,laborers,1,30,4,0,38,1
5781,5041117,f,0,1,0,225000,commercial_associate,higher_education,single,house,1,0,0,0,core_staff,1,47,2,0,3,1
10848,5066966,m,1,0,0,119250,working,secondary,civil_marriage,house,1,0,0,1,drivers,2,49,2,0,35,1
17264,5105777,f,1,0,1,171000,commercial_associate,higher_education,married,house,1,1,0,0,accountants,3,31,6,0,20,1
2054,5022621,m,1,0,0,247500,state_servant,higher_education,married,with_parents,1,1,1,1,core_staff,2,34,7,0,1,1
12600,5079072,f,0,1,0,216000,working,secondary,married,house,1,1,0,0,core_staff,2,43,5,0,31,1
5006,5035816,f,0,1,0,157500,working,secondary,civil_marriage,house,1,0,0,0,sales_staff,2,49,3,0,9,1
11488,5068170,m,1,1,1,310500,working,higher_education,married,house,1,0,0,1,it_staff,3,31,9,0,7,1
4468,5029577,m,1,1,0,202500,working,secondary,civil_marriage,house,1,0,0,1,drivers,2,44,6,0,15,1
4299,5029248,m,1,1,0,135000,commercial_associate,secondary,married,house,1,0,0,0,drivers,2,42,1,0,6,1
14883,5091764,m,0,1,0,247500,working,secondary,married,house,1,0,0,0,laborers,2,48,7,0,3,1
21065,5126013,f,0,1,0,270000,state_servant,secondary,married,house,1,1,1,0,waiters,2,56,4,0,5,1
4252,5029135,f,0,1,1,337500,state_servant,higher_education,separated,house,1,0,0,0,core_staff,2,29,5,0,12,1
15112,5092153,f,0,1,0,94500,working,higher_education,single,house,1,0,0,0,accountants,1,37,7,0,7,1
13368,5088965,f,0,0,0,90000,working,secondary,civil_marriage,house,1,0,0,0,low-skill_laborers,2,49,10,6,22,1
2759,5023953,m,1,1,1,148500,working,secondary,married,house,1,0,0,0,laborers,3,41,15,0,3,1
23917,5146193,m,1,1,0,382500,working,higher_education,civil_marriage,house,1,0,0,0,laborers,2,30,2,3,23,1
9947,5062056,f,0,1,1,315000,commercial_associate,secondary,separated,municipal_apartment,1,0,1,0,cleaning_staff,2,52,6,0,8,1
16098,5096593,f,0,0,0,202500,working,secondary,single,house,1,1,1,0,core_staff,1,32,5,0,12,1
8052,5051258,m,1,0,0,135000,working,secondary,married,house,1,0,0,0,drivers,2,50,10,0,17,1
872,5010390,f,1,1,0,540000,commercial_associate,higher_education,married,house,1,0,0,1,managers,2,38,7,0,45,1
13610,5089399,f,1,0,0,562500,working,higher_education,married,house,1,1,0,0,managers,2,41,8,0,12,1
12022,5069010,m,0,1,0,157500,working,secondary,married,house,1,0,0,0,laborers,2,60,10,0,14,1
4834,5033831,m,1,1,0,135000,working,higher_education,civil_marriage,house,1,1,1,0,laborers,2,53,2,0,20,1
12061,5069069,f,1,1,0,157500,state_servant,secondary,married,house,1,0,0,0,core_staff,2,52,7,0,10,1
6365,5044497,m,1,1,1,225000,state_servant,secondary,married,house,1,0,0,0,managers,3,48,5,0,3,1
2992,5024390,f,0,0,0,117000,working,secondary,married,municipal_apartment,1,0,0,0,sales_staff,2,37,4,1,46,1
14179,5090479,f,0,1,0,94500,working,secondary,married,house,1,1,1,0,laborers,2,45,8,0,24,1
19681,5117144,m,1,0,0,360000,commercial_associate,secondary,single,house,1,0,1,0,drivers,1,45,2,0,7,1
55,5008878,f,0,1,2,126000,commercial_associate,higher_education,married,house,1,0,0,1,managers,4,34,5,3,9,1
20827,5125618,f,0,0,0,126000,state_servant,secondary,married,house,1,1,0,0,medicine_staff,2,50,11,0,22,1
9797,5061699,f,1,1,0,135000,commercial_associate,secondary,married,house,1,0,1,1,high_skill_tech_staff,2,49,6,0,55,1
2632,5023674,f,0,1,0,90000,working,secondary,married,house,1,0,0,0,cooking_staff,2,45,5,0,9,1
19264,5116382,f,0,1,1,120150,working,higher_education,married,house,1,1,0,0,core_staff,3,26,4,0,27,1
17421,5106041,m,1,0,2,270000,working,secondary,married,house,1,0,0,0,core_staff,4,42,9,0,18,1
5717,5038849,f,0,1,0,103500,commercial_associate,secondary,married,house,1,1,1,0,sales_staff,2,47,5,0,2,1
16752,5104847,f,0,1,0,112500,commercial_associate,higher_education,civil_marriage,house,1,1,1,0,core_staff,2,27,1,0,3,1
12419,5078781,f,0,1,2,103500,working,secondary,married,house,1,1,1,0,laborers,4,43,6,0,33,1
17888,5113174,f,0,1,0,202500,working,secondary,married,house,1,0,0,1,high_skill_tech_staff,2,42,23,0,5,1
20535,5118626,f,0,0,1,180000,commercial_associate,incomplete_higher,married,house,1,1,1,0,high_skill_tech_staff,3,41,21,2,4,1
5862,5041350,m,1,0,0,225000,working,secondary,married,house,1,0,0,0,laborers,2,28,2,0,6,1
5541,5038510,f,0,1,0,103500,working,incomplete_higher,married,house,1,0,0,0,laborers,2,33,13,0,19,1
24094,5146597,f,0,1,0,180000,working,secondary,married,house,1,0,0,0,laborers,2,41,4,0,56,1
14459,5091034,f,0,1,0,112500,working,secondary,single,house,1,0,0,1,sales_staff,1,39,6,0,49,1
8917,5054209,m,1,0,2,171000,working,secondary,married,with_parents,1,1,0,0,laborers,4,31,7,0,23,1
17397,5105999,f,1,0,0,157500,working,incomplete_higher,married,with_parents,1,1,1,0,drivers,2,25,2,0,16,1
7826,5050757,m,0,0,0,247500,working,secondary,married,house,1,0,0,0,drivers,2,50,4,0,48,1
21977,5135687,f,0,1,0,292500,working,higher_education,married,house,1,0,1,0,accountants,2,38,4,0,12,1
3792,5028311,m,0,0,0,157500,commercial_associate,secondary,civil_marriage,house,1,0,0,0,security_staff,2,33,1,1,16,1
21822,5135473,f,0,1,0,180000,working,secondary,married,house,1,0,0,0,secretaries,2,55,22,0,8,1
13229,5088686,m,0,1,1,135000,working,secondary,married,house,1,1,1,0,laborers,3,52,5,0,9,1
2550,5023547,m,1,1,0,90900,working,secondary,married,house,1,0,0,0,laborers,2,60,7,0,41,1
2140,5022768,f,0,1,2,90000,working,secondary,married,with_parents,1,0,1,0,medicine_staff,4,38,2,0,10,1
17679,5112733,m,1,1,0,315000,working,higher_education,married,house,1,0,0,0,drivers,2,51,8,0,42,1
6850,5045963,m,0,1,1,270000,commercial_associate,secondary,married,house,1,0,0,0,laborers,3,43,13,0,12,1
9203,5054717,f,0,1,0,103500,commercial_associate,secondary,married,house,1,1,1,0,laborers,2,51,2,0,50,1
9065,5054477,f,1,1,1,225000,working,secondary,civil_marriage,house,1,1,1,0,private_service_staff,3,35,3,0,4,1
22304,5137131,m,1,0,0,326250,commercial_associate,higher_education,married,house,1,1,0,0,managers,2,33,1,0,23,1
18070,5113441,f,0,1,0,207000,working,secondary,single,house,1,0,0,0,cooking_staff,1,51,7,0,16,1
1139,5010822,f,1,1,0,270000,working,secondary,married,house,1,0,0,0,high_skill_tech_staff,2,36,5,0,27,1
13519,5089235,f,0,0,0,270000,state_servant,secondary,separated,house,1,0,1,1,medicine_staff,1,54,34,0,28,1
2629,5023671,f,0,1,0,90000,working,secondary,married,house,1,0,0,0,cooking_staff,2,45,5,0,19,1
19094,5116039,f,1,1,0,225000,commercial_associate,higher_education,married,house,1,0,1,0,high_skill_tech_staff,2,45,1,0,15,1
13538,5089260,f,0,0,0,72000,working,secondary,single,house,1,1,0,0,cleaning_staff,1,52,5,0,23,1
8644,5053733,f,0,1,0,103500,state_servant,secondary,widow,house,1,0,1,0,core_staff,1,49,24,2,8,1
20617,5125231,f,0,1,2,157500,commercial_associate,higher_education,married,house,1,0,0,0,high_skill_tech_staff,4,38,1,0,16,1
10371,5065420,f,0,1,0,265500,working,secondary,married,house,1,1,1,0,sales_staff,2,44,10,0,23,1
3682,5026513,f,1,1,2,112500,working,secondary,married,house,1,0,1,0,sales_staff,4,36,1,0,2,1
4369,5029370,f,0,1,2,157500,working,secondary,married,house,1,0,1,0,core_staff,4,38,5,1,27,1
3798,5028318,f,1,1,1,157500,commercial_associate,secondary,married,house,1,0,1,0,high_skill_tech_staff,3,38,9,0,10,1
19113,5116091,m,0,1,0,225000,working,higher_education,single,house,1,0,0,0,security_staff,1,41,6,1,51,1
10324,5065349,f,1,1,0,202500,working,higher_education,married,house,1,0,0,0,high_skill_tech_staff,2,42,11,0,48,1
20340,5118312,f,1,0,1,112500,working,secondary,married,house,1,1,0,0,sales_staff,3,28,2,2,22,1
849,5010346,f,0,1,0,328500,commercial_associate,secondary,married,house,1,0,0,1,managers,2,55,6,0,13,1
10065,5062280,f,0,1,0,157500,working,secondary,married,house,1,0,1,0,accountants,2,53,6,0,38,1
12263,5069427,m,1,1,0,202500,working,secondary,married,municipal_apartment,1,0,1,0,sales_staff,2,47,1,0,51,1
21331,5126463,f,1,0,0,112500,commercial_associate,secondary,separated,house,1,1,1,0,medicine_staff,1,49,29,27,31,1
13038,5087850,f,1,0,0,202500,state_servant,secondary,married,house,1,0,1,0,medicine_staff,2,54,33,0,9,1
5727,5038872,f,1,1,0,157500,commercial_associate,secondary,married,house,1,0,0,0,sales_staff,2,35,2,0,6,1
20097,5117818,m,1,0,0,274500,commercial_associate,secondary,married,house,1,0,0,0,laborers,2,48,10,0,9,1
3665,5026489,f,0,1,1,225000,commercial_associate,higher_education,married,house,1,0,1,0,managers,3,44,8,0,10,1
10993,5067194,m,0,0,1,405000,working,secondary,married,with_parents,1,0,0,0,drivers,3,35,4,0,40,1
10854,5066974,m,1,0,0,119250,working,secondary,civil_marriage,house,1,0,0,1,drivers,2,49,2,0,26,1
3310,5024947,m,1,0,0,135000,working,secondary,married,house,1,1,0,0,security_staff,2,52,5,0,6,1
12460,5078843,f,1,1,1,135000,working,secondary,married,with_parents,1,0,0,0,private_service_staff,3,29,1,0,8,1
9162,5054663,m,0,0,0,103500,commercial_associate,incomplete_higher,single,with_parents,1,0,0,0,laborers,1,24,3,0,6,1
18374,5113957,f,0,0,0,67500,state_servant,secondary,married,municipal_apartment,1,1,0,0,core_staff,2,47,9,0,5,1
5024,5035846,f,0,1,1,252000,working,secondary,separated,house,1,0,0,0,medicine_staff,2,51,21,0,18,1
8953,5054272,f,0,0,0,90000,working,secondary,married,house,1,0,1,0,sales_staff,2,55,1,0,15,1
14927,5091821,m,0,1,0,270000,commercial_associate,secondary,single,house,1,0,0,0,laborers,1,41,17,0,56,1
4328,5029300,f,1,1,1,247500,working,incomplete_higher,married,house,1,0,0,0,sales_staff,3,39,1,0,3,1
17147,5105594,f,1,1,1,135000,commercial_associate,secondary,married,house,1,0,0,0,sales_staff,3,31,3,0,32,1
3340,5025000,m,1,0,0,315000,working,secondary,married,house,1,0,0,0,drivers,2,57,3,2,4,1
2666,5023736,f,0,1,0,90000,working,secondary,married,house,1,1,1,0,core_staff,2,52,3,0,55,1
16004,5096352,m,1,0,0,315000,commercial_associate,secondary,married,house,1,1,1,0,laborers,2,50,15,0,26,1
13808,5089711,m,0,0,0,130500,working,secondary,single,with_parents,1,0,0,0,laborers,1,33,10,0,26,1
21347,5126510,f,0,0,0,112500,state_servant,secondary,single,house,1,1,1,0,security_staff,1,53,16,3,21,1
13414,5089048,f,1,0,0,225000,working,secondary,widow,house,1,1,0,0,laborers,1,35,2,0,9,1
552,5009773,m,0,0,0,135000,working,secondary,separated,house,1,0,0,0,laborers,1,39,9,0,28,1
20357,5118359,f,0,0,0,135000,working,higher_education,married,house,1,1,0,0,core_staff,2,30,4,0,27,1
11610,5068371,m,1,1,0,180000,working,secondary,married,house,1,0,0,0,drivers,2,54,15,0,23,1
6916,5046051,f,0,1,0,139500,state_servant,higher_education,married,house,1,0,0,0,managers,2,49,24,0,6,1
19961,5117579,f,1,0,0,180000,working,secondary,married,house,1,0,0,0,medicine_staff,2,53,32,7,34,1
23331,5142979,m,0,0,0,261000,commercial_associate,secondary,married,house,1,1,1,0,sales_staff,2,31,8,0,32,1
6537,5045253,f,0,1,1,270000,working,secondary,married,house,1,0,0,0,core_staff,3,58,11,0,20,1
11837,5068723,f,0,0,0,180000,working,secondary,single,house,1,0,0,1,cooking_staff,1,41,4,0,5,1
18412,5113998,f,0,0,2,202500,working,secondary,married,house,1,0,0,0,sales_staff,4,37,8,0,22,1
9755,5061595,f,1,1,2,175500,state_servant,secondary,married,house,1,0,0,0,core_staff,4,52,2,0,30,1
23440,5143154,f,0,0,0,90000,working,secondary,married,house,1,0,0,0,laborers,2,29,5,0,37,1
16201,5096865,m,1,1,0,180000,commercial_associate,secondary,married,house,1,0,0,0,drivers,2,50,10,0,3,1
1508,5021559,m,1,1,0,360000,working,incomplete_higher,married,house,1,1,1,0,sales_staff,2,28,1,0,16,1
6359,5042359,m,1,1,2,202500,working,higher_education,married,house,1,0,1,0,laborers,4,31,3,0,49,1
11377,5067974,f,0,0,0,108000,commercial_associate,secondary,married,house,1,0,1,0,high_skill_tech_staff,2,44,25,0,5,1
9188,5054693,m,0,0,2,360000,working,higher_education,married,rented_apartment,1,0,0,0,core_staff,4,42,4,0,17,1
8659,5053757,f,0,1,1,135000,commercial_associate,higher_education,married,house,1,0,0,0,sales_staff,3,28,3,0,2,1
2521,5023513,m,1,1,1,112500,working,higher_education,married,house,1,0,1,0,drivers,3,44,3,0,44,1
9851,5061825,f,0,1,0,112500,working,incomplete_higher,single,rented_apartment,1,0,0,0,laborers,1,23,5,1,21,1
18509,5114216,m,1,0,2,225000,working,secondary,single,house,1,1,0,0,managers,4,39,8,3,42,1
7527,5048400,f,0,1,0,360000,commercial_associate,higher_education,separated,house,1,0,1,0,private_service_staff,1,50,8,0,18,1
9214,5054739,f,0,1,0,247500,commercial_associate,secondary,civil_marriage,house,1,0,0,0,laborers,2,49,1,0,9,1
10341,5065367,f,0,1,1,216000,working,higher_education,single,house,1,0,1,0,core_staff,2,29,5,0,11,1
19000,5115874,f,1,1,1,315000,working,secondary,married,house,1,0,0,0,laborers,3,43,17,0,47,1
21356,5126522,m,1,0,0,157500,working,higher_education,married,house,1,0,1,0,laborers,2,57,7,0,17,1
10700,5066592,f,0,0,1,360000,commercial_associate,higher_education,civil_marriage,house,1,0,0,0,sales_staff,3,41,6,0,30,1
8476,5053468,m,0,1,0,112500,working,secondary,married,house,1,1,1,0,low-skill_laborers,2,51,6,0,19,1
11581,5068326,f,0,1,0,171000,working,higher_education,married,house,1,0,0,0,high_skill_tech_staff,2,51,11,0,21,1
19253,5116356,f,0,1,0,157500,working,secondary,single,house,1,0,1,0,sales_staff,1,52,2,0,12,1
10651,5066496,f,0,0,1,112500,working,higher_education,civil_marriage,with_parents,1,0,1,1,laborers,3,34,15,0,40,1
6724,5045692,f,0,1,0,247500,commercial_associate,higher_education,single,house,1,1,1,0,laborers,1,38,11,0,22,1
23301,5142920,f,0,0,1,292500,working,incomplete_higher,married,house,1,1,1,0,sales_staff,3,35,12,0,21,1
9529,5061102,m,1,0,2,139500,working,secondary,married,house,1,1,1,0,core_staff,4,36,5,0,18,1
19449,5116700,m,0,1,1,225000,working,secondary,married,house,1,0,1,0,laborers,3,50,4,0,11,1
10556,5065753,m,1,1,0,189000,working,secondary,married,house,1,0,0,0,high_skill_tech_staff,2,44,6,0,5,1
7721,5050581,f,0,0,0,126000,working,secondary,married,house,1,1,0,0,laborers,2,43,7,0,15,1
9157,5054653,f,0,1,0,202500,working,secondary,separated,house,1,0,0,0,cleaning_staff,1,60,22,0,35,1
24313,5148910,f,0,1,1,76500,working,higher_education,separated,house,1,0,0,0,core_staff,2,33,4,0,31,1
17620,5112611,f,0,1,0,135000,state_servant,higher_education,married,house,1,0,1,0,core_staff,2,52,24,0,23,1
13593,5089354,f,0,0,0,121500,state_servant,higher_education,married,house,1,1,0,0,accountants,2,61,15,3,12,1
17797,5112983,f,0,1,0,202500,working,secondary,separated,house,1,1,1,0,cleaning_staff,1,50,27,0,53,1
2657,5023725,m,1,0,1,495000,working,secondary,married,house,1,0,1,0,laborers,3,29,1,0,5,1
6623,5045449,f,1,1,0,247500,working,secondary,single,house,1,0,0,0,laborers,1,53,16,0,9,1
254,5009198,f,0,0,0,292500,state_servant,secondary,married,house,1,1,1,0,accountants,2,58,24,0,46,1
11686,5068507,f,0,1,0,135000,commercial_associate,secondary,married,house,1,1,1,0,core_staff,2,44,8,1,40,1
19801,5117336,f,1,1,0,270000,commercial_associate,secondary,separated,house,1,0,1,0,sales_staff,1,42,7,0,12,1
18527,5114237,f,0,0,0,270000,working,secondary,married,house,1,1,0,0,managers,2,46,2,0,6,1
4550,5029705,m,0,1,1,90000,working,secondary,single,house,1,1,0,0,laborers,2,35,2,0,7,1
2569,5023585,m,0,0,0,202500,working,secondary,separated,house,1,0,0,0,laborers,1,40,18,6,20,1
5432,5037044,m,1,1,0,135000,working,secondary,married,with_parents,1,0,0,0,core_staff,2,45,9,0,29,1
9961,5062080,f,0,1,0,112500,working,secondary,married,house,1,1,1,0,laborers,2,29,11,0,45,1
12425,5078788,m,0,1,0,157500,commercial_associate,secondary,single,house,1,0,0,0,laborers,1,40,3,0,8,1
20339,5118311,m,1,0,0,148500,working,secondary,married,house,1,0,1,0,laborers,2,52,30,0,3,1
9627,5061298,f,0,0,0,67500,working,secondary,married,with_parents,1,1,1,0,medicine_staff,2,43,24,0,37,1
13852,5089781,m,1,1,0,247500,working,secondary,married,house,1,1,0,0,laborers,2,40,21,0,13,1
8192,5052857,f,0,1,2,270000,working,secondary,married,house,1,0,0,0,sales_staff,4,39,4,0,27,1
21561,5132467,m,0,1,1,135000,working,secondary,married,house,1,1,0,0,laborers,3,29,4,0,7,1
11540,5068263,f,0,0,2,157500,state_servant,higher_education,married,house,1,0,0,0,medicine_staff,4,35,15,1,8,1
2963,5024343,m,1,1,0,198000,working,secondary,married,house,1,0,0,0,drivers,2,58,4,0,19,1
23387,5143059,f,0,0,0,135000,working,secondary,married,with_parents,1,1,1,0,core_staff,2,28,2,0,12,1
24283,5148851,f,1,0,2,135000,working,higher_education,married,house,1,0,0,0,accountants,4,36,14,0,31,1
23616,5143500,f,0,1,1,121500,working,higher_education,married,house,1,1,0,0,accountants,3,33,9,0,52,1
18682,5114563,m,1,1,1,157500,working,secondary,married,house,1,0,1,0,drivers,3,42,7,0,29,1
21768,5135285,f,0,1,0,135000,commercial_associate,incomplete_higher,single,house,1,1,0,0,laborers,1,31,2,0,14,1
4158,5028952,m,0,1,0,103500,working,secondary,single,house,1,0,0,0,laborers,1,55,3,0,16,1
6793,5045845,f,1,1,2,315000,commercial_associate,higher_education,married,with_parents,1,0,0,0,managers,4,35,4,3,10,1
4596,5029780,f,0,1,0,112500,state_servant,secondary,married,house,1,0,0,0,medicine_staff,2,59,3,0,13,1
15556,5095430,f,0,1,0,292500,working,higher_education,married,house,1,0,0,0,high_skill_tech_staff,2,52,26,0,10,1
2771,5023979,m,1,1,1,270000,commercial_associate,secondary,married,house,1,0,0,0,drivers,3,42,6,0,25,1
21592,5132632,f,0,1,0,202500,working,higher_education,married,house,1,1,1,0,accountants,2,36,3,0,4,1
23628,5143526,f,1,1,0,81000,working,secondary,married,house,1,0,1,0,private_service_staff,2,55,21,0,28,1
11752,5068607,f,0,1,2,360000,working,secondary,married,house,1,0,1,0,sales_staff,4,44,2,0,21,1
19963,5117581,f,0,0,0,135000,state_servant,higher_education,married,house,1,1,0,0,accountants,2,50,13,0,32,1
6937,5046111,m,0,0,0,126000,working,higher_education,single,house,1,1,1,0,core_staff,1,35,6,3,10,1
13909,5089929,m,1,0,0,157500,commercial_associate,secondary,married,house,1,0,0,0,laborers,2,53,14,0,11,1
2566,5023566,m,1,1,3,270000,commercial_associate,secondary,married,house,1,0,1,0,laborers,5,34,4,0,32,1
24878,5149861,f,0,1,2,90000,state_servant,secondary,married,with_parents,1,0,0,0,drivers,4,36,17,0,41,1
11357,5067913,m,1,0,0,135000,working,secondary,married,house,1,1,1,0,laborers,2,37,5,0,52,1
21729,5132935,f,0,1,1,157500,state_servant,secondary,single,house,1,0,0,0,waiters,2,35,4,0,2,1
8019,5051169,m,1,0,0,184136,working,secondary,married,house,1,1,0,0,sales_staff,2,62,2,0,16,1
11605,5068364,f,1,1,1,270000,working,secondary,married,house,1,0,0,0,laborers,3,39,9,0,47,1
12470,5078855,f,0,1,0,99000,working,secondary,married,house,1,1,0,0,laborers,2,54,23,0,16,1
5527,5037293,f,0,1,2,270000,commercial_associate,higher_education,married,house,1,1,0,0,accountants,4,42,11,0,57,1
17827,5113052,f,0,1,0,225000,working,higher_education,single,house,1,0,1,0,managers,1,34,8,0,14,1
12227,5069380,m,0,1,0,337500,working,secondary,single,house,1,0,0,0,high_skill_tech_staff,1,46,4,0,18,1
22948,5142340,f,1,0,2,180000,working,higher_education,married,house,1,0,0,0,managers,4,35,9,0,47,1
13001,5087629,f,0,0,1,157500,working,higher_education,married,with_parents,1,0,0,0,sales_staff,3,35,1,0,22,1
13976,5090062,f,0,1,0,112500,working,secondary,married,house,1,0,0,0,accountants,2,51,12,0,14,1
10978,5067178,f,0,0,0,122400,working,secondary,married,house,1,1,0,1,medicine_staff,2,58,4,0,9,1
4070,5028800,f,0,1,2,112500,commercial_associate,secondary,married,house,1,0,0,0,cooking_staff,4,35,3,0,6,1
22983,5142384,m,1,1,2,225000,working,higher_education,single,house,1,0,0,0,managers,3,48,2,0,7,1
919,5010503,f,1,1,0,135000,working,secondary,single,house,1,0,0,0,sales_staff,1,48,7,0,54,1
12924,5085981,m,1,0,0,67500,working,higher_education,single,house,1,0,0,0,laborers,1,35,6,0,53,1
14186,5090492,m,1,1,2,225000,working,secondary,married,house,1,0,1,0,laborers,4,33,4,1,22,1
2829,5024073,f,0,1,0,180000,working,higher_education,married,house,1,0,0,0,laborers,2,44,3,0,31,1
10558,5065755,f,1,1,0,225000,working,secondary,civil_marriage,house,1,1,0,0,accountants,2,55,5,0,14,1
5427,5037034,f,0,1,2,166500,commercial_associate,secondary,civil_marriage,house,1,0,0,0,laborers,4,34,13,0,10,1
23626,5143524,f,1,1,0,81000,working,secondary,married,house,1,0,1,0,private_service_staff,2,55,21,0,28,1
14002,5090118,m,0,1,0,270000,commercial_associate,secondary,married,house,1,0,0,1,laborers,2,39,2,0,3,1
15713,5095827,f,0,0,0,45000,working,higher_education,married,house,1,1,0,0,accountants,2,51,9,0,18,1
21745,5132951,f,0,1,1,157500,state_servant,secondary,single,house,1,0,0,0,waiters,2,35,4,0,2,1
9261,5056009,f,1,1,0,112500,working,secondary,married,house,1,0,1,0,hr_staff,2,47,3,0,51,1
2348,5023130,f,1,0,0,328500,commercial_associate,secondary,married,house,1,0,0,0,realty_agents,2,35,6,0,11,1
17847,5113086,f,1,0,1,324000,commercial_associate,higher_education,married,rented_apartment,1,0,0,0,sales_staff,3,50,4,1,30,1
22858,5142175,m,1,1,0,247500,working,secondary,married,co-op_apartment,1,1,0,0,sales_staff,2,31,8,4,28,1
13464,5089133,f,0,0,1,90000,working,secondary,married,municipal_apartment,1,0,0,0,sales_staff,3,43,4,0,11,1
20644,5125274,m,0,0,1,360000,working,lower_secondary,married,house,1,0,0,1,laborers,3,35,3,0,18,1
3811,5028349,f,0,1,0,157500,commercial_associate,secondary,married,house,1,1,1,0,laborers,2,48,6,0,31,1
6439,5044992,f,0,1,0,157500,commercial_associate,secondary,widow,house,1,0,0,0,accountants,1,60,14,0,18,1
23817,5145964,f,0,0,2,130500,working,secondary,married,house,1,0,0,0,sales_staff,4,43,10,0,25,1
1411,5021378,f,0,1,0,247500,working,higher_education,married,house,1,0,0,1,managers,2,61,2,0,11,1
723,5010075,f,0,1,0,157500,working,secondary,married,house,1,0,0,0,core_staff,2,46,10,0,60,1
11399,5068017,m,1,1,0,135000,working,secondary,married,house,1,0,0,0,laborers,2,43,10,1,7,1
23836,5146025,f,0,1,0,360000,commercial_associate,higher_education,married,house,1,0,1,0,core_staff,2,31,11,0,11,1
594,5009844,m,1,0,0,180000,working,secondary,married,house,1,1,0,0,security_staff,2,44,1,0,14,1
13877,5089811,f,0,0,1,202500,working,secondary,married,house,1,0,0,0,managers,3,33,10,1,7,1
24611,5149426,f,0,1,0,202500,working,higher_education,married,house,1,0,1,0,core_staff,2,60,20,0,17,1
15200,5092347,f,0,1,0,225000,working,secondary,widow,house,1,0,0,0,sales_staff,1,53,6,0,21,1
23266,5142863,f,1,0,4,202500,state_servant,secondary,married,house,1,1,0,0,core_staff,6,40,6,0,30,1
12519,5078930,f,0,0,2,180000,working,higher_education,married,house,1,0,0,0,high_skill_tech_staff,4,33,5,0,17,1
1736,5021991,m,1,1,0,135000,working,higher_education,married,house,1,0,0,0,sales_staff,2,26,3,0,4,1
9975,5062094,m,1,0,0,180000,working,secondary,single,house,1,1,1,0,high_skill_tech_staff,1,28,5,0,2,1
4340,5029331,f,0,0,0,225000,working,secondary,separated,house,1,0,0,0,sales_staff,1,33,4,0,16,1
16260,5096987,m,1,1,0,315000,working,secondary,married,house,1,0,1,0,managers,2,59,15,1,18,1
9670,5061381,m,1,0,0,450000,working,secondary,married,house,1,0,0,0,sales_staff,2,44,13,0,11,1
