id,own_car,own_realty,num_children,income,days_birth,days_employed,work_phone,phone,email,fam_members,gender_m,income_type_pensioner,income_type_state_servant,income_type_student,income_type_working,education_type_higher_education,education_type_incomplete_higher,education_type_lower_secondary,education_type_secondary,family_status_married,family_status_separated,family_status_single,family_status_widow,housing_type_hose/apartment,housing_type_municipal_apartment,housing_type_office_apartment,housing_type_rented_apartment,housing_type_with_parents,occupation_type_cleaning_staff,occupation_type_cooking_staff,occupation_type_core_staff,occupation_type_drivers,occupation_type_high_skill_tech_staff,occupation_type_hr_staff,occupation_type_it_staff,occupation_type_laborers,occupation_type_low-skill_laborers,occupation_type_managers,occupation_type_medicine_staff,occupation_type_private_service_staff,occupation_type_realty_agents,occupation_type_sales_staff,occupation_type_secretaries,occupation_type_security_staff,occupation_type_undefined,occupation_type_waiters/barmen_staff,bad_client
5008951,0,1,1,0.3404021458475826,1.356513133475613,-0.456685362593418,0,0,0,3.0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
5008955,1,1,0,-0.4771170800170375,-0.42699453159782963,-0.44878739707896365,0,0,0,2.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
5008966,0,1,0,-0.2727372735508825,-0.006923996335354766,-0.44285671677020827,0,1,0,2.0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0
5008967,0,1,0,-0.2727372735508825,-0.006923996335354766,-0.44285671677020827,0,1,0,2.0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
5008974,0,1,0,-0.6814968864831925,-1.5103846379004808,2.195553784815743,0,0,0,2.0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
5008981,1,1,0,-0.6814968864831925,-1.1651048179606196,-0.45360832675886326,0,1,0,2.0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5008991,1,1,0,0.7491617587798927,-0.1395401209489347,-0.4450545995091759,1,1,0,1.0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5008998,1,1,0,0.7491617587798927,1.2831561059866599,-0.4424171402224147,0,0,1,2.0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
5009000,1,1,0,-0.2727372735508825,1.4506586345526409,-0.4424171402224147,0,0,0,2.0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5009001,0,1,0,-0.19098535096442049,-0.6996341679655679,-0.4816763702614178,1,1,0,2.0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
5009016,0,1,2,0.2586502232611206,0.13238267150197336,-0.45887603915947106,0,0,1,4.0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
5009027,1,1,0,0.7491617587798927,-0.9230505220443016,-0.5145869619626159,0,0,1,2.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
5009028,1,1,0,0.3404021458475826,0.36989695594503363,-0.4564619712330639,0,0,0,2.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
5009031,0,1,0,1.1579213717122028,1.3008382559351372,-0.4450545995091759,0,0,0,1.0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5009033,0,0,0,0.6142710865122303,-0.641330862730048,2.195553784815743,0,0,0,2.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
5009039,0,1,2,-0.2727372735508825,0.399526504507347,-0.44044985501671574,0,0,0,3.0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5009042,0,1,0,-0.35448919613734453,-0.39258602358998185,-0.44285671677020827,0,0,0,2.0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5009044,0,1,0,-0.35448919613734453,-0.39258602358998185,-0.44285671677020827,0,0,0,2.0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
5009050,0,1,2,0.13602233938142755,1.19498430421655,-0.45294535885071563,0,0,1,4.0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5009056,0,1,0,0.13602233938142755,1.7053771729996252,-0.44285671677020827,1,0,0,1.0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5009058,1,1,0,-0.6814968864831925,2.033213790963286,-0.44219374886206064,0,1,1,1.0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
5009060,0,1,0,-0.8450007316561166,-1.5132520135678016,2.195553784815743,0,1,0,2.0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
5009062,1,1,0,1.1579213717122028,1.3256888450519162,-0.4514176501928102,0,0,0,2.0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
5009071,1,1,0,0.7491617587798927,1.370133167895386,-0.4593156157072646,0,1,1,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5009074,1,1,1,2.384200210509133,-0.4128966012335031,-0.44155239947265695,0,1,1,3.0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5009078,0,1,1,-0.06835746708472747,0.448271890851798,-0.44571756741732355,0,0,0,3.0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5009079,0,1,0,-0.6814968864831925,1.4179227623507302,-0.4593156157072646,0,0,1,2.0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
5009080,0,1,0,-0.6814968864831925,1.4179227623507302,-0.4593156157072646,0,0,1,2.0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0
5009083,0,1,0,-0.8858766929493476,-1.0831456634697043,-0.4777417998500199,0,0,0,2.0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5009088,1,0,2,0.13602233938142755,0.3029915237075519,-0.45798967989096934,0,0,0,4.0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
5009090,1,1,0,0.5447819523137376,0.8052601614332187,-0.4654552750305448,0,0,0,2.0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5009092,1,1,1,5.2455175010353035,0.9082467374844851,-0.4450545995091759,1,0,0,3.0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0
5009094,1,1,1,5.2455175010353035,0.9082467374844851,-0.4450545995091759,1,0,0,3.0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
5009096,0,1,1,0.7491617587798927,0.5541258425703852,-0.468092734317306,0,0,1,3.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5009099,0,1,0,1.1579213717122028,0.6516166152592873,-0.44044985501671574,0,0,0,1.0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
5009103,1,1,2,-0.2727372735508825,0.7500631798372961,-0.4656786663908989,0,1,0,4.0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5009108,0,1,0,1.5666809846445127,0.16177327209200998,-0.4562457860456245,0,0,0,2.0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
5009110,0,1,0,-0.6814968864831925,1.7099171844728829,-0.4386987549984563,0,0,1,2.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
5009116,0,0,0,-0.2727372735508825,0.06237091562489421,-0.4395634957482141,0,0,0,1.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
5009133,0,1,0,1.7710607911106677,-1.3560242478097193,2.195553784815743,0,0,0,1.0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
5009141,0,0,0,-0.4771170800170375,1.5151745870673556,-0.44769205879593715,1,1,0,2.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
5009143,1,0,0,0.3404021458475826,-0.5474243096252968,2.195553784815743,0,0,0,2.0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0
5009144,1,0,0,0.3404021458475826,-0.5474243096252968,2.195553784815743,0,0,0,2.0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
5009145,1,0,0,1.1579213717122028,0.041343494064542796,-0.46325739229157714,1,1,0,2.0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
5009151,0,0,0,-0.06835746708472747,-0.8547114019731595,-0.4573555366744803,0,0,0,2.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
5009163,0,0,0,-0.2727372735508825,0.7366820933897998,-0.45932282188017926,0,1,0,2.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
5009170,1,0,0,-0.3953651574305755,-1.643717606430891,2.195553784815743,0,1,1,2.0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
5009177,1,0,0,0.38127810714081356,-0.5560264366272587,-0.4455013822298841,0,0,0,2.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
5009181,1,0,0,0.38127810714081356,-0.5560264366272587,-0.4455013822298841,0,0,0,2.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0
5009186,0,0,0,0.7491617587798927,-0.37633756147516484,-0.4781885825707281,1,1,0,2.0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0
5009187,0,0,0,0.7491617587798927,-0.37633756147516484,-0.4781885825707281,1,1,0,2.0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
5009195,0,0,0,0.9535415652460476,-1.1839817077704806,-0.4990288346398905,1,1,0,2.0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5009209,0,0,0,0.9535415652460476,-1.1839817077704806,-0.4990288346398905,1,1,0,2.0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
5009213,0,0,0,0.7491617587798927,0.8757498132548512,-0.44264773775568345,1,1,0,2.0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5009220,1,0,0,0.3404021458475826,0.31804524596098527,-0.44220095503497525,1,0,0,2.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
5009238,1,0,0,-0.2727372735508825,1.287218221515364,-0.4435268908512705,0,1,0,2.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5009242,0,0,0,-1.028942557475656,-0.7369100516407362,-0.4742323936405863,0,1,0,1.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5009246,0,0,0,-0.4771170800170375,0.42939500104193706,-0.4518644329135184,0,1,0,2.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
5009249,1,0,1,-0.4771170800170375,1.4434901953843393,-0.443087314303477,1,0,0,3.0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5009255,0,0,0,-0.3953651574305755,0.00669603808441831,-0.5012123050330289,0,0,0,1.0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5009260,0,0,0,0.13602233938142755,0.3431347830500409,-0.4457247735902382,0,1,0,2.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5009264,0,0,0,-1.3355122671748887,-1.216956527944668,2.195553784815743,0,0,0,1.0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
5009265,1,0,0,1.3623011781783576,1.3696552719508328,-0.4483550267040848,1,1,0,2.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
5009270,0,0,0,-0.06835746708472747,0.2908051771214391,-0.45405510947957145,0,1,0,2.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
5009278,0,0,0,-0.5179930413102686,0.20502285507409643,-0.47115535780603146,0,1,0,2.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5009295,0,0,0,-0.3953651574305755,-1.205009129330832,2.195553784815743,0,1,0,2.0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
5009297,0,0,0,0.05427041679496555,-0.02412825033927865,-0.44989714770781947,0,1,0,1.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
5009302,0,0,0,-0.6814968864831925,-1.448736061053087,2.195553784815743,0,0,0,1.0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
5009306,1,0,0,-0.4771170800170375,-0.9897170063095067,2.195553784815743,0,1,1,2.0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
5009325,1,0,0,0.7287237781332772,-1.193061730716996,-0.47051400841662777,0,1,0,2.0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
5009335,0,0,0,-0.4362411187238065,-0.04897883945605759,-0.4876142567430879,0,0,0,1.0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
5009338,0,0,0,-1.0902564994155026,-0.6394192789518343,-0.4746719701883798,1,1,0,2.0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
5009339,0,0,0,-1.0902564994155026,-0.6394192789518343,-0.4746719701883798,1,1,0,2.0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0
5009340,1,0,0,0.5856579136069686,1.2540044533688999,-0.45405510947957145,0,0,0,2.0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5009349,0,0,0,-0.06835746708472747,-1.232249198170378,-0.4373872315279903,0,1,0,2.0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5009355,0,0,0,-0.4771170800170375,-0.8826683147295358,-0.4744485788280257,1,1,0,2.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
5009359,1,0,0,6.471796339832234,-0.7323700401674785,-0.4898049333091409,0,0,0,1.0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0
5009361,1,0,0,-0.06835746708472747,0.2702556515056411,-0.44067324637706984,1,0,0,2.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5009368,1,0,0,-0.6561537904813893,-1.7177914778366743,2.195553784815743,0,1,1,2.0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
